Gender,Age,Education
Female,26 to 35 years old,Technical school diploma or degree completed
Female,36 to 45 years old,Some university or college
Female,18 to 25 years old,University or college degree completed
Male,26 to 35 years old,University or college degree completed
Female,36 to 45 years old,University or college degree completed
Male,Over 45 years old,Secondary school/ high school completed
Female,18 to 25 years old,Some primary education
Male,Not Available,Secondary/high school
Male,26 to 35 years old,University or college degree completed
Female,36 to 45 years old,University or college degree completed
Male,36 to 45 years old,Secondary school/ high school completed
Female,18 to 25 years old,Technical school diploma or degree completed
Female,26 to 35 years old,University or college degree completed
Male,18 to 25 years old,University or college degree completed
Female,18 to 25 years old,Secondary school/ high school completed
Male,26 to 35 years old,Secondary school/ high school completed
Female,Over 45 years old,Some secondary school / high school
Male,26 to 35 years old,University or college degree completed
Female,18 to 25 years old,Technical school diploma or degree completed
Prefer not to answer,36 to 45 years old,No formal education
Female,Over 45 years old,Some secondary school / high school
Female,Over 45 years old,Technical school diploma or degree completed
Male,36 to 45 years old,Technical school diploma or degree completed
Male,36 to 45 years old,Secondary school/ high school completed
Female,26 to 35 years old,University or college degree completed
Female,Under 18,Secondary school/ high school completed
Female,36 to 45 years old,University or college degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,18 to 25 years old,University or college degree completed
Male,Not Available,College or university
Female,18 to 25 years old,Some technical education (e.g polytechnic school)
Female,18 to 25 years old,University or college degree completed
Female,26 to 35 years old,Secondary school/ high school completed
Female,18 to 25 years old,University or college degree completed
Male,26 to 35 years old,University or college degree completed
Female,Not Available,Secondary/high school
Female,Not Available,College or university
Female,26 to 35 years old,Some university or college
Female,26 to 35 years old,University or college degree completed
Male,26 to 35 years old,University or college degree completed
Male,18 to 25 years old,University or college degree completed
Male,36 to 45 years old,Some secondary school / high school
Female,Not Available,Secondary/high school
Female,26 to 35 years old,University or college degree completed
Female,18 to 25 years old,Some university or college
Male,Over 45 years old,University or college degree completed
Male,36 to 45 years old,University or college degree completed
Female,18 to 25 years old,Technical school diploma or degree completed
Male,Not Available,Secondary/high school
Male,Not Available,Technical school
Male,36 to 45 years old,Technical school diploma or degree completed
Prefer not to answer,Over 45 years old,Secondary school/ high school completed
Male,Not Available,Secondary/high school
Male,26 to 35 years old,Some university or college
Male,36 to 45 years old,University or college degree completed
Female,Not Available,College or university
Female,36 to 45 years old,University or college degree completed
Male,18 to 25 years old,Some university or college
Male,36 to 45 years old,University or college degree completed
Male,36 to 45 years old,University or college degree completed
Male,26 to 35 years old,Some university or college
Female,26 to 35 years old,Some university or college
Female,Under 18,Some secondary school / high school
Male,Over 45 years old,Some secondary school / high school
Female,36 to 45 years old,University or college degree completed
Male,36 to 45 years old,University or college degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,36 to 45 years old,Post-graduate education
Male,36 to 45 years old,University or college degree completed
Male,36 to 45 years old,Secondary school/ high school completed
Female,36 to 45 years old,University or college degree completed
Male,36 to 45 years old,Some technical education (e.g polytechnic school)
Male,26 to 35 years old,University or college degree completed
Female,Not Available,Prefer not to answer
Male,36 to 45 years old,Technical school diploma or degree completed
Male,36 to 45 years old,Some technical education (e.g polytechnic school)
Female,36 to 45 years old,Some technical education (e.g polytechnic school)
Male,Over 45 years old,Some university or college
